CVE ID,Published Date,CVSS,Severity,Description,Affected Products,Exploitability Score,References
CVE-2025-54073,2025-07-18T16:15:30.350,7.5,HIGH,"mcp-package-docs is an MCP (Model Context Protocol) server that provides LLMs with efficient access to package documentation across multiple programming languages and language server protocol (LSP) capabilities. A command injection vulnerability exists in the `mcp-package-docs` MCP Server prior to the fix in commit cb4ad49615275379fd6f2f1cf1ec4731eec56eb9. The vulnerability is caused by the unsanitized use of input parameters within a call to `child_process.exec`, enabling an attacker to inject arbitrary system commands. Successful exploitation can lead to remote code execution under the server process's privileges. The server constructs and executes shell commands using unvalidated user input directly within command-line strings. This introduces the possibility of shell metacharacter injection (`|`, `>`, `&&`, etc.). Commit cb4ad49615275379fd6f2f1cf1ec4731eec56eb9 in version 0.1.27 contains a fix for the issue, but upgrading to 0.1.28 is recommended.",Docs,1.6,"https://equixly.com/blog/2025/03/29/mcp-server-new-security-nightmare
https://github.com/advisories/GHSA-3q26-f695-pp76
https://github.com/advisories/GHSA-5w57-2ccq-8w95
https://github.com/advisories/GHSA-gjv4-ghm7-q58q
https://github.com/sammcj/mcp-package-docs/commit/cb4ad49615275379fd6f2f1cf1ec4731eec56eb9
https://github.com/sammcj/mcp-package-docs/releases/tag/v0.1.27
https://github.com/sammcj/mcp-package-docs/releases/tag/v0.1.28
https://github.com/sammcj/mcp-package-docs/security/advisories/GHSA-vf9j-h32g-2764
https://invariantlabs.ai/blog/mcp-github-vulnerability"
CVE-2025-7789,2025-07-18T16:15:31.487,3.7,LOW,A vulnerability was found in Xuxueli xxl-job up to 3.1.1 and classified as problematic. Affected by this issue is the function makeToken of the file src/main/java/com/xxl/job/admin/controller/IndexController.java of the component Token Generation. The manipulation leads to password hash with insufficient computational effort. The attack may be launched remotely. The complexity of an attack is rather high. The exploitation is known to be difficult. The exploit has been disclosed to the public and may be used.,Word,2.2,"https://github.com/xuxueli/xxl-job/issues/3751
https://vuldb.com/?ctiid.316850
https://vuldb.com/?id.316850
https://vuldb.com/?submit.615760"
CVE-2025-47158,2025-07-18T17:15:31.363,9.0,CRITICAL,Authentication bypass by assumed-immutable data in Azure DevOps allows an unauthorized attacker to elevate privileges over a network.,Azure,2.2,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-47158
CVE-2025-47995,2025-07-18T17:15:33.497,6.5,MEDIUM,Weak authentication in Azure Machine Learning allows an authorized attacker to elevate privileges over a network.,Azure,2.8,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-47995
CVE-2025-49746,2025-07-18T17:15:43.300,9.9,CRITICAL,Improper authorization in Azure Machine Learning allows an authorized attacker to elevate privileges over a network.,Azure,3.1,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49746
CVE-2025-49747,2025-07-18T17:15:43.503,9.9,CRITICAL,Missing authorization in Azure Machine Learning allows an authorized attacker to elevate privileges over a network.,Azure,3.1,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49747
CVE-2025-53901,2025-07-18T18:15:24.713,3.5,LOW,"Wasmtime is a runtime for WebAssembly. Prior to versions 24.0.4, 33.0.2, and 34.0.2, a bug in Wasmtime's implementation of the WASIp1 set of import functions can lead to a WebAssembly guest inducing a panic in the host (embedder). The specific bug is triggered by calling `path_open` after calling `fd_renumber` with either two equal argument values or a second argument being equal to a previously-closed file descriptor number value. The corrupt state introduced in `fd_renumber` will lead to the subsequent opening of a file descriptor to panic. This panic cannot introduce memory unsafety or allow WebAssembly to break outside of its sandbox, however. There is no possible heap corruption or memory unsafety from this panic. This bug is in the implementation of Wasmtime's `wasmtime-wasi` crate which provides an implementation of WASIp1. The bug requires a specially crafted call to `fd_renumber` in addition to the ability to open a subsequent file descriptor. Opening a second file descriptor is only possible when a preopened directory was provided to the guest, and this is common amongst embeddings. A panic in the host is considered a denial-of-service vector for WebAssembly embedders and is thus a security issue in Wasmtime. This bug does not affect WASIp2 and embedders using components. In accordance with Wasmtime's release process, patch releases are available as 24.0.4, 33.0.2, and 34.0.2. Users of other release of Wasmtime are recommended to move to a supported release of Wasmtime. Embedders who are using components or are not providing guest access to create more file descriptors (e.g. via a preopened filesystem directory) are not affected by this issue. Otherwise, there is no workaround at this time, and affected embeddings are recommended to update to a patched version which will not cause a panic in the host.",Box,2.1,"https://docs.wasmtime.dev/security-what-is-considered-a-security-vulnerability.html
https://docs.wasmtime.dev/stability-release.html
https://github.com/WebAssembly/WASI/blob/e1aa1cae4dda4c1f70f23fe11e922aae92f240a8/legacy/preview1/witx/wasi_snapshot_preview1.witx#L245-L260
https://github.com/bytecodealliance/wasmtime/blob/037a6edadbc225decbea00a551aabf04203717d9/crates/wasi/src/preview1.rs#L1824-L1836
https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-fm79-3f68-h2fc"
CVE-2025-7653,2025-07-19T03:15:23.050,6.4,MEDIUM,"The EPay.bg Payments plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'epay' shortcode in all versions up to, and including, 0.1 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",Word,3.1,"https://plugins.svn.wordpress.org/epaybg-payments/tags/0.1/epay-payments.php
https://www.wordfence.com/threat-intel/vulnerabilities/id/7e35e79a-4838-4ed9-bd08-80e8f9043ec4?source=cve"
CVE-2025-7655,2025-07-19T03:15:23.223,6.4,MEDIUM,"The Live Stream Badger plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'livestream' shortcode in all versions up to, and including, 1.4.3 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",Word,3.1,"https://plugins.svn.wordpress.org/live-stream-badger/tags/1.4.3/shortcode/class-embedded-stream.php
https://plugins.svn.wordpress.org/live-stream-badger/tags/1.4.3/view/class-embedded-twitch-view.php
https://www.wordfence.com/threat-intel/vulnerabilities/id/22a30301-f409-4c53-84d7-7799fb41c25b?source=cve"
CVE-2025-7658,2025-07-19T03:15:23.397,6.4,MEDIUM,"The Temporarily Hidden Content plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'temphc-start' shortcode in all versions up to, and including, 1.0.6 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",Word,3.1,"https://plugins.svn.wordpress.org/temporarily-hidden-content/trunk/includes/class-temporarily-hidden-content-public.php
https://plugins.svn.wordpress.org/temporarily-hidden-content/trunk/templates/countdown_view.tpl
https://www.wordfence.com/threat-intel/vulnerabilities/id/67afe49c-3560-414b-b848-b91a03bf7556?source=cve"
